"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"nAChRalpha3"	0	0.739274343094299	0.45	0.141	0	"2"	"nAChRalpha3"
"mei-P26"	0	0.737977810920388	0.918	0.39	0	"2"	"mei-P26"
"hth"	0	0.733861613010338	0.759	0.316	0	"2"	"hth"
"CG11000"	0	0.728156207327906	0.523	0.166	0	"2"	"CG11000"
"shep"	0	0.727663867198362	0.927	0.447	0	"2"	"shep"
"Mnn1"	0	0.725490332794845	0.685	0.231	0	"2"	"Mnn1"
"CASK"	0	0.725281333642074	0.605	0.195	0	"2"	"CASK"
"CadN"	0	0.723781505800591	0.442	0.132	0	"2"	"CadN"
"Nipped-B"	0	0.717837692877042	0.647	0.215	0	"2"	"Nipped-B"
"kek3"	0	0.713172032921904	0.252	0.069	0	"2"	"kek3"
"Pde9"	0	0.712681827298403	0.512	0.17	0	"2"	"Pde9"
"Hs3st-A"	0	0.709938900190145	0.428	0.13	0	"2"	"Hs3st-A"
"nAChRalpha7"	0	0.709268371004532	0.624	0.218	0	"2"	"nAChRalpha7"
"tutl"	0	0.708600770462387	0.572	0.2	0	"2"	"tutl"
"kirre"	0	0.70487516857121	0.418	0.136	0	"2"	"kirre"
"Rdh"	0	0.703525446458801	0.441	0.134	0	"2"	"Rdh"
"CG17716"	0	0.701970076618961	0.418	0.139	0	"2"	"CG17716"
"skd"	0	0.69916991369471	0.582	0.192	0	"2"	"skd"
"beat-Ic"	0	0.697870617495192	0.36	0.114	0	"2"	"beat-Ic"
"cac"	0	0.697483761384256	0.516	0.178	0	"2"	"cac"
"Aac11"	0	0.694354222239574	0.554	0.184	0	"2"	"Aac11"
"CG42389"	0	0.692164946642118	0.467	0.148	0	"2"	"CG42389"
"DopEcR"	0	0.691413087918344	0.615	0.209	0	"2"	"DopEcR"
"Prosap"	0	0.689329956848449	0.64	0.218	0	"2"	"Prosap"
"Tlk"	0	0.689269115777669	0.531	0.174	0	"2"	"Tlk"
"Rbfox1"	0	0.688058667095782	0.805	0.305	0	"2"	"Rbfox1"
"GluClalpha"	0	0.686738794787766	0.413	0.15	0	"2"	"GluClalpha"
"eys"	0	0.684910918814983	0.371	0.114	0	"2"	"eys"
"Sema1a"	0	0.684160185771736	0.559	0.184	0	"2"	"Sema1a"
"fz2"	0	0.679785753984335	0.343	0.111	0	"2"	"fz2"
"cdc14"	0	0.679212199717497	0.419	0.123	0	"2"	"cdc14"
"psq"	0	0.678463703836991	0.53	0.175	0	"2"	"psq"
"tai"	0	0.669956166235616	0.52	0.166	0	"2"	"tai"
"klar"	0	0.668930668115657	0.418	0.131	0	"2"	"klar"
"Hk"	0	0.66632486285378	0.812	0.306	0	"2"	"Hk"
"sdt"	0	0.665611040518158	0.518	0.187	0	"2"	"sdt"
"msi"	0	0.665214959728271	0.673	0.243	0	"2"	"msi"
"tna"	0	0.665014840564342	0.604	0.213	0	"2"	"tna"
"Dhit"	0	0.664479319763784	0.56	0.183	0	"2"	"Dhit"
"Eip75B"	0	0.659735271712896	0.629	0.221	0	"2"	"Eip75B"
"Syp"	0	0.65254322000029	0.833	0.34	0	"2"	"Syp"
"scrt"	0	0.652471785956854	0.726	0.266	0	"2"	"scrt"
"CG12605"	0	0.64745442265141	0.548	0.181	0	"2"	"CG12605"
"trv"	0	0.645235641095294	0.628	0.228	0	"2"	"trv"
"Frl"	0	0.644130650564709	0.465	0.149	0	"2"	"Frl"
"SK"	0	0.643308723507571	0.458	0.163	0	"2"	"SK"
"Rbp6"	0	0.638840770876324	0.788	0.306	0	"2"	"Rbp6"
"dpr14"	0	0.636089815277387	0.511	0.164	0	"2"	"dpr14"
"CG11486"	0	0.63428242772785	0.562	0.197	0	"2"	"CG11486"
"Caper"	0	0.631788704326033	0.428	0.151	0	"2"	"Caper"
"Lim1"	0	0.631477895529307	0.281	0.085	0	"2"	"Lim1"
"jeb"	0	0.630348173576231	0.503	0.202	0	"2"	"jeb"
"CG42674"	0	0.62608180376836	0.309	0.102	0	"2"	"CG42674"
"CG42450"	0	0.62290301639325	0.579	0.194	0	"2"	"CG42450"
"Dsp1"	0	0.617516006523028	0.621	0.21	0	"2"	"Dsp1"
"roX2"	0	0.616916127124246	0.727	0.294	0	"2"	"roX2"
"Smr"	0	0.61675214102425	0.506	0.178	0	"2"	"Smr"
"CG32767"	0	0.611129125965706	0.502	0.171	0	"2"	"CG32767"
"5-HT1A"	0	0.61018831134879	0.283	0.086	0	"2"	"5-HT1A"
"Frq1"	0	0.608894593016742	0.747	0.283	0	"2"	"Frq1"
"Rgk1"	0	0.605843299839303	0.283	0.087	0	"2"	"Rgk1"
"dpr9"	0	0.604815969771988	0.372	0.131	0	"2"	"dpr9"
