"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"jigr1"	2.19151251593533e-17	0.293980033847673	0.727	0.511	4.32999042898503e-13	"3"	"jigr1"
"Doc3"	4.05096257966209e-15	0.337995181552776	0.302	0.17	8.00389186489636e-11	"3"	"Doc3"
"Sema-5c"	9.94589890677427e-14	0.308544311835022	0.332	0.203	1.96511070600046e-09	"3"	"Sema-5c"
"Doc1"	5.23153761424965e-11	0.345745848968512	0.338	0.221	1.03364720182345e-06	"3"	"Doc1"
"h"	9.38765546197472e-08	0.274306652329696	0.584	0.489	0.00185481296617697	"3"	"h"
"tin"	0	0.661492075219146	0.774	0.088	0	"4"	"tin"
"htl"	2.84076996183385e-278	0.511428907658622	0.771	0.098	5.61279329059132e-274	"4"	"htl"
"Mef2"	9.00684719403131e-275	0.620058228155526	0.766	0.102	1.77957286859671e-270	"4"	"Mef2"
"sna"	3.37130662806877e-251	0.949848171984612	0.961	0.212	6.66102763573827e-247	"4"	"sna"
"twi"	3.75293225176815e-246	1.17388353475884	0.977	0.256	7.4150435430435e-242	"4"	"twi"
"ventrally-expressed-protein-D"	3.13151674377533e-242	1.06550950117477	0.964	0.232	6.1872507823513e-238	"4"	"ventrally-expressed-protein-D"
"Nplp2"	1.2177042009053e-240	0.847128542747988	0.815	0.142	2.40593996014868e-236	"4"	"Nplp2"
"CR45361"	1.31674609510968e-239	0.395317567585289	0.658	0.079	2.60162693471771e-235	"4"	"CR45361"
"stumps"	8.6372967414976e-238	0.528592693824137	0.735	0.106	1.7065570901851e-233	"4"	"stumps"
"if"	7.7042107422957e-229	0.41485771310814	0.766	0.117	1.52219795846278e-224	"4"	"if"
"sprt"	1.61655781311285e-225	0.371046789198023	0.658	0.089	3.19399492714837e-221	"4"	"sprt"
"Act87E"	7.39238056436129e-224	0.659365298326791	0.663	0.095	1.4605865519065e-219	"4"	"Act87E"
"zfh1"	1.41156206589122e-220	0.639461007905721	0.843	0.153	2.78896432978788e-216	"4"	"zfh1"
"Mes2"	1.56455997689094e-215	0.782741485567853	0.933	0.219	3.09125760234112e-211	"4"	"Mes2"
"CG16758"	3.93516414275808e-204	0.765259988704528	0.869	0.19	7.77509731326142e-200	"4"	"CG16758"
"CG4500"	6.02263371795129e-203	1.083660455203	0.943	0.257	1.18995196999282e-198	"4"	"CG4500"
"CG12177"	6.29387923592464e-195	0.980349010467205	0.936	0.283	1.24354465943399e-190	"4"	"CG12177"
"CG10663"	3.93221321147496e-192	0.250281103817516	0.463	0.047	7.76926686323223e-188	"4"	"CG10663"
"CG14688"	4.72295278659459e-180	0.869331606163834	0.81	0.19	9.3316101157536e-176	"4"	"CG14688"
"Cyp310a1"	9.64088456895064e-177	0.962551128501609	0.954	0.325	1.90484597313327e-172	"4"	"Cyp310a1"
