"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"TF"
"185"	4.0787360501242e-74	0.642342585955507	0.865	0.549	7.13493297248227e-70	1	"rad"	FALSE
"186"	1.02132853187419e-68	0.557376870285246	0.766	0.423	1.78661000080752e-64	1	"CG42541"	FALSE
"187"	1.53171781103097e-68	0.576726095623093	0.774	0.421	2.67943396683647e-64	1	"CG4577"	FALSE
"188"	1.35065602502918e-65	0.571127267365661	0.733	0.393	2.36270258458355e-61	1	"br"	FALSE
"189"	1.53391505781164e-62	0.685374942749348	0.634	0.319	2.68327761062991e-58	1	"beat-IIa"	FALSE
"190"	6.41258948176826e-57	0.54728643803595	0.669	0.373	1.12175427804572e-52	1	"VAChT"	FALSE
"191"	2.64655674536261e-55	0.680372014003463	0.894	0.647	4.62962171466281e-51	1	"CG31221"	FALSE
"192"	6.912458348326e-53	0.574671295659186	0.616	0.325	1.20919633887267e-48	1	"beat-VI"	FALSE
"193"	1.29316852321951e-43	0.851829721410513	0.823	0.611	2.26213969766789e-39	1	"heph"	FALSE
"194"	2.97462397203689e-43	1.03910994919245	0.382	0.153	5.20350971428413e-39	1	"natalisin"	FALSE
"195"	2.06653553312269e-42	0.545424146126169	0.624	0.363	3.61499060809152e-38	1	"Con"	FALSE
"196"	1.66005298865896e-41	0.608668648012763	0.321	0.126	2.90393069306112e-37	1	"twz"	FALSE
"197"	5.41044405029318e-28	0.545625832392643	0.268	0.114	9.46448977717786e-24	1	"CG6006"	FALSE
"198"	2.15759208883041e-18	0.680218451865442	0.285	0.151	3.77427584099103e-14	1	"AstA"	FALSE
"199"	3.276808545976e-14	0.662486661615348	0.715	0.543	5.73212118947582e-10	1	"VGlut"	FALSE
"200"	2.79254986467879e-05	1.36378224800895	0.267	0.207	0.48850074782826	1	"Pdf"	FALSE
"201"	1.22417848632262e-157	0.721541925589517	0.986	0.405	2.14145542612415e-153	2	"CG42392"	FALSE
"202"	5.23692428324672e-140	0.774902696733373	0.996	0.652	9.16095164868348e-136	2	"futsch"	FALSE
"203"	7.45444277641673e-140	0.500354745087483	0.841	0.27	1.30400567487858e-135	2	"Gbs-76A"	FALSE
"204"	1.86857181798065e-137	0.776226003786737	1	0.673	3.26869268119355e-133	2	"CG6329"	FALSE
"205"	8.43575288665969e-134	0.814713417487715	0.996	0.673	1.47566625246338e-129	2	"Hex-A"	FALSE
"206"	1.52209694580471e-133	0.621650621493839	0.953	0.384	2.66260418729618e-129	2	"Syt7"	FALSE
"207"	7.17413095668021e-129	0.639246842865028	0.963	0.421	1.25497072825207e-124	2	"sif"	FALSE
"208"	2.22487044565157e-128	0.627458858111501	0.994	0.536	3.89196587057828e-124	2	"CG40178"	FALSE
"209"	7.36296017548638e-125	0.712186483055793	1	0.668	1.28800262349783e-120	2	"CaMKII"	FALSE
"210"	8.71992368507769e-125	0.490096732935066	0.944	0.387	1.52537625023064e-120	2	"CG11360"	FALSE
"211"	2.4781402483232e-124	0.782605474239828	0.806	0.3	4.33501073639178e-120	2	"Dop2R"	FALSE
"212"	3.43010075851154e-123	0.704171053362152	1	0.668	6.00027525686424e-119	2	"Galphao"	FALSE
"213"	1.72927758306025e-121	0.457343061564345	1	0.925	3.0250252760473e-117	2	"Fkbp12"	FALSE
"214"	4.70671970418896e-118	0.721465797465245	1	0.873	8.23346477853774e-114	2	"nrv3"	FALSE
"215"	2.28768709395065e-117	0.57509320173274	1	0.796	4.00185103344787e-113	2	"Cyt-c-p"	FALSE
"216"	1.21229544637364e-116	0.662150300406091	0.983	0.553	2.1206684243414e-112	2	"CG43222"	FALSE
"217"	7.48910095370575e-113	0.648748567665004	1	0.725	1.31006842983175e-108	2	"nSyb"	FALSE
"218"	1.43856526124157e-110	0.445863968701789	0.924	0.386	2.51648221148988e-106	2	"anne"	FALSE
"219"	1.4545754899635e-110	0.480048368300507	0.773	0.269	2.54448890459314e-106	2	"kek2"	FALSE
"220"	5.45050966648711e-110	0.514292030147077	0.971	0.414	9.53457655958589e-106	2	"eEF1alpha2"	FALSE
"221"	1.76467560874471e-107	0.474912616815782	1	0.901	3.08694704237712e-103	2	"cype"	FALSE
"222"	1.85853015924471e-107	0.608573629780072	1	0.788	3.25112680756677e-103	2	"CG30172"	FALSE
"223"	4.05035306426121e-107	0.571250933243331	0.994	0.554	7.08528261531213e-103	2	"Cals"	FALSE
"224"	8.00536411777726e-107	0.480733581858375	1	0.884	1.40037834512278e-102	2	"Vha16-1"	FALSE
"225"	1.0609647186169e-103	0.517952398197356	1	0.838	1.85594558227654e-99	2	"CG7630"	FALSE
"226"	2.19929832126944e-102	0.516732238817909	0.963	0.437	3.84723255339663e-98	2	"dpr21"	FALSE
"227"	4.95613189419726e-100	0.472022815976024	0.963	0.433	8.66976152251926e-96	2	"bol"	FALSE
"228"	2.36730528604958e-99	0.489090761842024	1	0.815	4.14112713688653e-95	2	"COX5B"	FALSE
"229"	8.28620603209773e-99	0.485157886412723	0.961	0.433	1.44950602119486e-94	2	"RhoGAP100F"	FALSE
"230"	1.17345786872159e-98	0.509749060887975	1	0.806	2.05272984975467e-94	2	"COX8"	FALSE
"231"	1.414853103886e-98	0.574182404385278	0.981	0.496	2.47500253462778e-94	2	"Snap25"	FALSE
"232"	6.25228629390854e-98	0.466625044224702	1	0.844	1.09371244139342e-93	2	"RNASEK"	FALSE
"233"	2.56988892991172e-97	0.495976998182059	0.979	0.484	4.49550670509456e-93	2	"qvr"	FALSE
"234"	1.55459172021413e-95	0.502554273881029	0.984	0.509	2.71944729617058e-91	2	"CG14312"	FALSE
"235"	3.05036654673575e-94	0.555055987320632	0.994	0.584	5.33600620020485e-90	2	"GstZ2"	FALSE
"236"	9.8580542495405e-94	0.495185586288283	1	0.814	1.72446942987212e-89	2	"COX7C"	FALSE
"237"	7.61122501816242e-92	0.587862956040357	1	0.862	1.33143159242715e-87	2	"fax"	FALSE
"238"	1.33541713419899e-91	0.453041937572884	1	0.865	2.3360451928543e-87	2	"porin"	FALSE
"239"	1.54897455532574e-91	0.496514444807996	0.99	0.49	2.70962118963132e-87	2	"CG17816"	FALSE
"240"	1.86490703105596e-90	0.443863081510668	0.961	0.478	3.26228186942619e-86	2	"CG44242"	FALSE
"241"	6.24430167479464e-89	0.518642818092915	1	0.728	1.09231569197183e-84	2	"mei-P26"	FALSE
"242"	1.99925631794447e-88	0.453334033476353	1	0.829	3.49729907698026e-84	2	"levy"	FALSE
"243"	1.01519912855474e-87	0.481526294191626	0.616	0.205	1.7758878355808e-83	2	"eys"	FALSE
"244"	2.39216442710375e-87	0.56041939726969	0.996	0.604	4.1846132323326e-83	2	"Dhit"	FALSE
"245"	4.15991794658294e-87	0.461973580054704	1	0.793	7.27694446395754e-83	2	"ATPsynD"	FALSE
