"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"fs(1)h"	3.52414672328477e-56	0.62275464791614	0.382	0.236	5.14173006927248e-52	"1"	"fs(1)h"
"CG17816"	8.87484737453863e-56	0.577513649505733	0.352	0.205	1.29484023194519e-51	"1"	"CG17816"
"sqd"	9.39446335614883e-56	0.679678577284982	0.362	0.217	1.37065220366211e-51	"1"	"sqd"
"Smr"	1.72994392706179e-55	0.678775267624955	0.365	0.221	2.52398818958315e-51	"1"	"Smr"
"CG4467"	3.52169167076567e-55	0.789719915237442	0.268	0.136	5.13814814764711e-51	"1"	"CG4467"
"Ca-alpha1D"	6.74867976575166e-54	0.737093451206545	0.286	0.153	9.84632377823167e-50	"1"	"Ca-alpha1D"
"Mkp3"	1.06300278729294e-53	0.555166605661216	0.423	0.269	1.55092106666039e-49	"1"	"Mkp3"
"Tomosyn"	2.1824547383566e-53	0.742167512254391	0.309	0.173	3.18420146326228e-49	"1"	"Tomosyn"
"Cadps"	2.39430560237078e-53	0.509915926395192	0.4	0.245	3.49329187385896e-49	"1"	"Cadps"
"Frl"	1.08823554633097e-52	0.685268811734288	0.326	0.19	1.58773566209688e-48	"1"	"Frl"
"hdc"	3.88198388630641e-52	0.628961157367553	0.4	0.248	5.66381449012106e-48	"1"	"hdc"
"CG11486"	6.44368419246538e-51	0.633999408513902	0.383	0.245	9.40133523680699e-47	"1"	"CG11486"
"Snap25"	9.64938772173592e-51	0.354918645933515	0.541	0.354	1.40784566860127e-46	"1"	"Snap25"
"Antp"	5.10646949948077e-50	0.717921638905363	0.383	0.225	7.45033899974245e-46	"1"	"Antp"
"Alk"	5.12436194965905e-50	0.483099491633026	0.412	0.264	7.47644408455255e-46	"1"	"Alk"
"CG4587"	1.22826872784908e-49	0.661339757031133	0.302	0.17	1.7920440739318e-45	"1"	"CG4587"
"CG32264"	6.91037500694843e-49	0.372737318937314	0.496	0.324	1.00822371351378e-44	"1"	"CG32264"
"skd"	1.97045357876789e-48	0.600396162857463	0.377	0.243	2.87489177142236e-44	"1"	"skd"
"side"	6.38809476496138e-48	0.772203479564311	0.322	0.188	9.32023026207865e-44	"1"	"side"
"nAChRalpha3"	9.32648652225369e-48	0.74473633268881	0.308	0.181	1.36073438359681e-43	"1"	"nAChRalpha3"
"CG11000"	2.1009598575138e-47	0.674772582164437	0.344	0.213	3.06530043211264e-43	"1"	"CG11000"
"CG42613"	2.30094661751857e-47	0.457139236382848	0.404	0.259	3.3570811149596e-43	"1"	"CG42613"
"Nrx-1"	2.40862387019655e-47	0.787364758726918	0.268	0.146	3.51418222661677e-43	"1"	"Nrx-1"
"gish"	5.38614409299414e-47	0.57410438141101	0.397	0.264	7.85838423167845e-43	"1"	"gish"
"lola"	6.27983240305594e-46	0.584632382353785	0.367	0.235	9.16227547605862e-42	"1"	"lola"
"DopEcR"	6.39107472568744e-46	0.508771883547594	0.401	0.263	9.32457802477798e-42	"1"	"DopEcR"
"CG43066"	1.1639647549857e-45	0.621941013196255	0.339	0.209	1.69822457752414e-41	"1"	"CG43066"
"Cp110"	2.32168640468641e-45	0.731333836683674	0.308	0.185	3.38734046443747e-41	"1"	"Cp110"
"eIF4EHP"	3.60442506257127e-45	0.483346957136165	0.38	0.241	5.25885616629149e-41	"1"	"eIF4EHP"
"mt:ND21"	4.29286819237986e-45	0.348130597458703	0.377	0.216	6.26329469268222e-41	"1"	"mt:ND2"
"GluRIB"	2.36120473776265e-44	0.676264624256578	0.29	0.165	3.44499771239571e-40	"1"	"GluRIB"
"hfp"	2.82511827376953e-44	0.682686622814762	0.375	0.25	4.12184756142974e-40	"1"	"hfp"
"mbl"	1.99637760152694e-42	0.366461992305807	0.685	0.476	2.9127149206278e-38	"1"	"mbl"
"Rbp"	5.27548718263421e-42	0.768649216124525	0.257	0.145	7.69693579946331e-38	"1"	"Rbp"
"AGO1"	5.30974985382047e-42	0.577033461407578	0.344	0.22	7.74692503672407e-38	"1"	"AGO1"
"CanA-14F"	7.51368601376331e-42	0.567316452377019	0.33	0.202	1.09624678940807e-37	"1"	"CanA-14F"
"Fas1"	1.23105022585836e-41	0.372374551014359	0.442	0.3	1.79610227952735e-37	"1"	"Fas1"
"orb2"	7.77245396438837e-41	0.402210998013735	0.412	0.274	1.13400103340426e-36	"1"	"orb2"
"FoxP"	2.71253501661519e-40	0.371263351059216	0.492	0.345	3.95758858924156e-36	"1"	"FoxP"
"Pkc53E"	3.05036293189257e-39	0.60279011956851	0.323	0.2	4.45047951763126e-35	"1"	"Pkc53E"
"Fer2LCH1"	3.44516032177776e-39	0.322462130272451	0.443	0.28	5.02648890947375e-35	"1"	"Fer2LCH"
"psq"	4.09274956183951e-39	0.600308978747366	0.338	0.222	5.97132161072384e-35	"1"	"psq"
"kcc"	6.05675330879478e-39	0.44963646401124	0.371	0.245	8.83680307753158e-35	"1"	"kcc"
"Ddc"	1.70434493863894e-38	0.640061010549964	0.313	0.184	2.48663926547421e-34	"1"	"Ddc"
"luna"	1.87553049697167e-38	0.669917720652989	0.293	0.175	2.73639899508167e-34	"1"	"luna"
"ab"	4.29921808578304e-38	0.670959382637247	0.267	0.154	6.27255918715746e-34	"1"	"ab"
"CG32767"	4.73397420045001e-38	0.607297382249808	0.328	0.215	6.90686835845656e-34	"1"	"CG32767"
"CG32000"	5.34624323544463e-38	0.511330230351995	0.339	0.221	7.80016888051371e-34	"1"	"CG32000"
"CR31451"	1.73211084697595e-37	0.257756739070809	0.671	0.447	2.52714972573791e-33	"1"	"CR31451"
"dpr13"	8.00107019992e-37	0.568352470572493	0.319	0.197	1.16735614216833e-32	"1"	"dpr13"
"bun"	9.22009326454316e-37	0.31154990240962	0.452	0.317	1.34521160729685e-32	"1"	"bun"
"CG11138"	6.14054376720289e-36	0.463484559945864	0.387	0.27	8.95905335634901e-32	"1"	"CG11138"
"CG17716"	7.81265392316632e-36	0.671853458526107	0.286	0.175	1.13986620738997e-31	"1"	"CG17716"
"Nipped-B"	8.55225364601799e-36	0.44215059363609	0.388	0.272	1.24777380695402e-31	"1"	"Nipped-B"
"Tlk"	9.10102008689106e-36	0.582837465121409	0.331	0.221	1.32783883067741e-31	"1"	"Tlk"
"Hrb98DE"	9.60605715888827e-36	0.568792169682686	0.328	0.218	1.4015237394818e-31	"1"	"Hrb98DE"
